ticker,side,entry_date,exit_date,entry_price,exit_price,stop_price,take_profit_price,hold_days,exit_reason,trade_return_pct,weighted_return_pct,run_id
META,long,2023-05-01,2023-06-02,236.9647,272.5094,218.0075,272.5094,24,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2023-06-06,2023-07-13,268.2661,308.5061,246.8048,308.5061,26,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2023-07-17,2023-08-18,305.4066,280.9741,280.9741,351.2176,25,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2023-10-03,2023-10-26,302.1494,277.9774,277.9774,347.4718,18,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2023-11-06,2023-12-18,313.7881,342.2294,288.6851,360.8563,30,max_hold,9.0639,0.9064,RUN_20260317T112829Z
META,long,2023-12-20,2024-01-29,346.2315,398.1662,318.533,398.1662,26,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2024-01-31,2024-02-02,386.3016,444.2469,355.3975,444.2469,3,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2024-02-06,2024-03-19,460.7813,493.3205,423.9188,529.8985,30,max_hold,7.0617,0.7062,RUN_20260317T112829Z
META,long,2024-03-21,2024-04-22,511.6819,470.7473,470.7473,588.4342,22,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2024-06-14,2024-07-17,500.1889,460.1738,460.1738,575.2172,22,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2024-08-23,2024-10-04,534.2911,593.588,491.5478,614.4348,30,max_hold,11.0982,1.1098,RUN_20260317T112829Z
META,long,2024-10-08,2024-11-18,587.3626,552.2119,540.3736,675.467,30,max_hold,-5.9845,-0.5985,RUN_20260317T112829Z
META,long,2024-12-06,2025-01-22,607.692,621.5401,559.0766,698.8457,30,max_hold,2.2788,0.2279,RUN_20260317T112829Z
META,long,2025-01-24,2025-02-14,634.3995,729.5595,583.6476,729.5595,16,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2025-02-19,2025-02-25,701.8867,645.7357,645.7357,807.1697,5,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2025-05-30,2025-06-30,641.0501,737.2077,589.7661,737.2077,21,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2025-07-02,2025-08-13,714.265,778.9186,657.1238,821.4047,30,max_hold,9.0518,0.9052,RUN_20260317T112829Z
META,long,2025-08-15,2025-09-26,782.9826,743.1439,720.344,900.4299,30,max_hold,-5.0881,-0.5088,RUN_20260317T112829Z
META,long,2026-01-29,2026-02-04,737.43,678.4356,678.4356,848.0445,5,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2026-02-06,2026-03-13,665.49,612.2508,612.2508,765.3135,25,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2022-07-22,2022-09-01,22.238,23.004,20.459,25.5737,30,max_hold,3.4445,0.3445,RUN_20260317T112829Z
NFLX,long,2022-09-12,2022-10-11,23.361,21.4921,21.4921,26.8652,22,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2022-10-18,2022-10-21,24.98,28.727,22.9816,28.727,4,take_profit,15.0,1.5,RUN_20260317T112829Z
NFLX,long,2022-10-25,2022-11-04,28.695,26.3994,26.3994,32.9992,9,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2022-11-11,2022-12-01,27.447,31.5641,25.2512,31.5641,14,take_profit,15.0,1.5,RUN_20260317T112829Z
NFLX,long,2022-12-05,2022-12-15,31.646,29.1143,29.1143,36.3929,9,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2023-01-05,2023-01-23,30.7,35.305,28.244,35.305,12,take_profit,15.0,1.5,RUN_20260317T112829Z
NFLX,long,2023-01-25,2023-02-23,36.057,33.1724,33.1724,41.4655,21,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2023-04-18,2023-05-30,33.5,38.525,30.82,38.525,30,take_profit,15.0,1.5,RUN_20260317T112829Z
NFLX,long,2023-06-01,2023-07-14,39.741,44.191,36.5617,45.7022,30,max_hold,11.1975,1.1198,RUN_20260317T112829Z
NFLX,long,2023-07-18,2023-07-27,45.1,41.492,41.492,51.865,8,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2023-08-08,2023-08-17,44.036,40.5131,40.5131,50.6414,8,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2023-11-09,2023-12-21,43.803,49.161,40.2988,50.3735,30,max_hold,12.232,1.2232,RUN_20260317T112829Z
NFLX,long,2023-12-26,2024-01-25,48.939,56.2798,45.0239,56.2798,21,take_profit,15.0,1.5,RUN_20260317T112829Z
NFLX,long,2024-01-29,2024-03-11,57.135,60.093,52.5642,65.7052,30,max_hold,5.1772,0.5177,RUN_20260317T112829Z
NFLX,long,2024-03-13,2024-04-19,61.337,56.43,56.43,70.5376,27,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NFLX,long,2024-05-29,2024-07-11,64.413,65.275,59.26,74.075,30,max_hold,1.3382,0.1338,RUN_20260317T112829Z
NFLX,long,2024-08-30,2024-10-11,70.036,72.279,64.4331,80.5414,30,max_hold,3.2026,0.3203,RUN_20260317T112829Z
NFLX,long,2024-10-15,2024-11-12,71.251,81.9386,65.5509,81.9386,21,take_profit,15.0,1.5,RUN_20260317T112829Z
NFLX,long,2024-11-14,2024-12-27,83.367,90.755,76.6976,95.872,30,max_hold,8.862,0.8862,RUN_20260317T112829Z
NFLX,long,2025-01-23,2025-03-06,95.781,90.636,88.1185,110.1481,30,max_hold,-5.3716,-0.5372,RUN_20260317T112829Z
NFLX,long,2025-04-29,2025-06-10,110.392,120.362,101.5606,126.9508,30,max_hold,9.0315,0.9031,RUN_20260317T112829Z
NFLX,long,2025-06-12,2025-07-25,122.259,118.049,112.4783,140.5979,30,max_hold,-3.4435,-0.3444,RUN_20260317T112829Z
NFLX,long,2025-09-10,2025-10-02,126.397,116.2852,116.2852,145.3566,17,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
